Gene	SRR4289769	SRR4289770	SRR4289771	SRR4289772	SRR4289773	SRR4289774	SRR4289775	SRR4289776	SRR4289777	SRR4289778	SRR4289779	SRR4289780
PA4516	924.71405	707.9498	996.5045	527.1246	660.8701	837.82886	297.43915	189.50081	195.52333	285.36197	216.2791	235.18396
PA4517	313.2656	218.04248	435.78635	221.07118	253.96468	322.31433	421.26794	295.56985	676.256	437.1053	371.57678	347.2353
PA4518	77.32518	72.50678	126.04893	77.83649	65.746544	105.09654	66.55862	34.228943	61.67358	59.9036	56.510883	40.011707
PA4519	1012.224	672.4241	1435.5465	738.4357	726.4244	1068.1947	1295.754	1136.652	1065.0249	1213.1858	1252.5929	1085.0728
PA4520	1573.5559	1182.9808	2217.4434	1187.0513	1418.8513	1488.8689	663.43427	595.4222	800.60974	651.5046	684.0563	706.07477
PA4521	370.88287	264.03818	390.0668	306.4967	329.3078	360.50064	324.74747	196.59816	242.98285	409.16653	284.11868	306.10257
PA4522	252.62614	208.6984	340.0142	151.14987	184.63486	270.61526	576.6238	443.4152	490.14496	582.3754	598.53345	599.54614
PA4523	3709.2322	2956.873	5555.9326	3785.51	4172.426	4885.8853	6876.7983	5004.613	7904.935	6437.754	6209.8237	7880.2505
PA4524	179.98842	132.68243	198.96713	141.51987	136.28777	208.37135	123.16159	98.32972	114.142296	115.28016	108.32765	110.151146
PA4525	4298.122	2993.0168	5370.06	3542.7166	4976.373	6494.2715	3083.9739	1744.3274	2576.0803	3250.857	3725.7583	2436.9673
PA4526	2736.0862	1989.2292	4336.3687	1973.7422	2228.6787	2703.42	972.58154	785.1002	1017.7617	836.48346	991.7179	918.5928
PA4528	1845.823	1590.6086	3036.382	1538.5273	1907.6517	2135.5806	412.93073	424.59082	317.5772	402.46136	452.72028	503.26553
PA4529	426.49677	327.9537	453.36282	275.23752	315.08752	472.79132	194.68376	146.40485	178.97284	206.25833	165.92278	166.78691
PA4530	124.59315	82.1004	192.87328	82.709076	70.156235	119.84923	43.46655	32.47465	45.985172	50.644993	40.373486	36.474995
PA4531	153.5525	149.9181	188.06847	84.26789	116.42422	82.46129	103.948006	122.40313	100.85895	138.89914	112.51758	110.755135
PA4532	79.70636	78.70196	144.59782	67.36203	76.962776	102.85539	94.93522	87.88604	129.66756	115.69907	98.90732	87.75736
PA4533	69.80767	64.86258	101.89608	46.097595	74.03339	67.49091	75.00089	51.275257	82.17103	69.30041	69.97031	67.27283
PA4534	169.3035	141.06808	206.74715	97.83137	123.81629	240.40965	164.42148	148.52332	186.51134	158.12521	128.5329	155.25664
PA4535	887.8532	664.979	1249.5825	749.79724	804.69086	1016.5418	446.00842	300.81607	425.256	461.78717	419.24405	341.37323
PA4536	482.88577	332.0015	565.8357	327.09528	455.09677	519.28235	255.20561	177.20815	199.25476	294.65573	263.2403	262.47714
PA4537	53.74836	46.29722	61.309025	46.50907	52.038963	77.49338	86.62262	59.81774	132.40965	109.434875	61.80183	65.01686
PA4538	975.8683	714.9321	1196.5255	661.83984	762.8977	857.2776	312.11023	230.88129	366.6077	356.08508	327.11523	311.5982
PA4539	414.81473	306.71597	588.7356	315.28195	319.88608	376.531	300.99863	218.44748	274.2474	270.22894	296.6654	259.29556
PA4540	80.1628	57.936943	114.133194	56.625122	62.16685	72.2354	80.65457	62.854374	79.0303	87.49175	77.470215	93.46419
PA4541	286.06143	230.02336	420.84445	198.75987	241.70807	382.8953	429.18164	357.9575	389.68176	456.54346	408.2802	409.81317
PA4542	15239.609	12794.588	26095.602	11957.773	11818.675	11345.838	623.315	504.6071	454.62903	667.84955	638.67505	680.02313
PA4543	296.869	235.93652	340.82248	238.86072	267.52863	291.6079	174.41557	113.088196	124.53492	162.3308	165.5342	164.32205
