Gene	SRR1813212	SRR1813213	SRR1813214	SRR1813215	SRR1813216	SRR1813217	SRR1813218	SRR1813219	SRR1813220
PA2429	74.43097	82.5145	51.17913	58.95772	65.5799	85.7791	58.02398	62.473885	51.01132
PA2430	342.8095	297.59738	357.88248	327.6282	314.72418	261.49588	302.27765	323.8728	344.76453
PA2431	604.89813	587.5247	577.95135	548.3678	516.3762	518.75323	492.415	476.0679	471.07504
PA2432	169.65692	182.64977	168.29317	187.90941	158.7523	210.41716	142.63684	151.45142	149.15138
PA2433	1003.3195	897.90454	736.6248	688.21716	631.72034	671.30115	605.52527	738.4628	729.993
PA2434	440.77155	395.73465	347.57138	409.08832	357.07178	354.86566	336.4002	333.99762	415.20828
PA2435	1539.5444	1301.0978	1372.8713	1430.8745	1242.4724	1280.306	1278.2191	1308.1398	1391.0509
PA2436	528.3119	489.59662	606.8473	499.78363	511.82724	477.27692	538.24133	457.29642	581.3066
PA2437	331.34518	302.6788	316.4203	381.4333	306.2048	324.65417	273.12643	256.50415	320.50528
PA2438	448.08356	430.9448	417.37286	469.65973	438.8161	456.2166	364.1828	349.645	353.73807
PA2439	908.8136	773.75684	794.23	928.14294	734.7126	769.8159	711.98804	665.2724	725.0613
PA2440	692.0292	599.21814	664.59064	244.62532	224.37077	243.2752	711.94086	686.60486	730.55225
PA2441	960.48694	761.41223	788.38324	371.69437	307.10986	346.9052	885.21765	840.03534	866.15985
PA2442	1068.6859	1006.5013	976.9836	538.11774	529.4337	546.372	927.2469	997.4002	975.766
PA2443	1092.3962	1014.37427	1026.742	672.51733	586.0504	619.25397	882.6896	1016.589	999.5852
PA2444	255.25569	181.58334	223.2647	278.39456	226.12291	242.78914	216.34955	202.46985	192.10667
PA2445	733.8075	637.42896	680.6105	1027.9303	835.4092	928.8407	693.21606	666.76227	660.5213
PA2446	119.06436	121.21346	144.79872	206.7007	180.21771	249.92566	188.41791	172.91052	150.3084
PA2447	193.27855	191.88522	165.52045	187.91248	179.68442	198.99562	146.65854	132.53343	125.291954
PA2448	1225.939	965.8208	1114.1888	1372.6925	1216.7205	1182.609	798.76965	832.3005	783.5372
PA2449	1085.1849	998.4553	1018.43396	1164.1891	999.5401	1020.0398	800.73773	808.2047	827.05316
PA2450	711.50867	664.29346	665.1934	724.06824	659.454	671.86957	602.66846	527.6569	547.4339
PA2451	80.30781	68.4007	67.46701	55.51446	45.43688	48.158024	51.299072	62.685825	45.267902
PA2452	182.20113	126.92239	142.39122	124.48035	128.18375	119.44124	132.93883	140.59627	131.8046
PA2453	189.57193	166.91171	146.13205	158.97415	118.69904	103.50901	175.49074	159.23726	174.60643
PA2454	262.73877	237.56836	247.74205	294.5403	235.6212	250.88058	182.29332	204.66139	210.81369
PA2455	335.39218	216.82507	267.5971	283.5148	263.4958	257.18097	193.68742	208.95236	239.9263
PA2456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PA2457	496.2097	406.59686	393.06958	481.89062	415.06647	446.8565	374.23514	406.46396	375.61847
PA2458	684.8716	679.26495	702.31866	668.5978	647.4836	610.2928	634.352	722.7314	724.5787
PA2459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
